date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:51:38	5680/5680	---M--	200	added ('OK')	application/javascript	etag:%22c08073a-1630-5a347cb473400%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/js/custom.js	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/js/custom.js	(from http://badlapurseva.com/56/mywings/)
17:51:39	1902/1902	---M--	200	added ('OK')	application/javascript	etag:%22c080740-76e-5762b067bc800%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/js/universal-parallax.min.js	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/js/universal-parallax.min.js	(from http://badlapurseva.com/56/mywings/)
17:51:39	1899/1899	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e5c-76b%22	https://cdnjs.cloudflare.com/ajax/libs/fitvids/1.1.0/jquery.fitvids.min.js	F:/New%20folder/Mywings/cdnjs.cloudflare.com/ajax/libs/fitvids/1.1.0/jquery.fitvids.min.js	(from http://badlapurseva.com/56/mywings/)
17:51:42	84265/84265	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fd5-14929%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	F:/New%20folder/Mywings/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.6.0/slick.js	(from http://badlapurseva.com/56/mywings/)
17:51:43	683/683	---M--	200	added ('OK')	application/javascript	etag:%22c080542-2ab-5a3722130d180%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/skip-link-focus-fix.js?ver=20161114	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/skip-link-focus-fixb448.js	(from http://badlapurseva.com/56/mywings/)
17:51:43	52797/52797	---M--	200	added ('OK')	application/javascript	etag:%22c08073e-ce3d-4f9428ac27480%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/js/owl.carousel.js	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/js/owl.carousel.js	(from http://badlapurseva.com/56/mywings/)
17:51:43	3754/3754	---M--	200	added ('OK')	application/javascript	etag:%22c08053f-eaa-5a3722130d180%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/navigation.js?ver=20161203	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/navigation6877.js	(from http://badlapurseva.com/56/mywings/)
17:51:45	7754/7754	---M--	200	added ('OK')	application/javascript	etag:%22c080536-1e4a-5a3722130d180%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/global.js?ver=20190121	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/global5841.js	(from http://badlapurseva.com/56/mywings/)
17:51:45	5836/5836	---M--	200	added ('OK')	application/javascript	etag:%22c08053e-16cc-5a3722130d180%22	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/jquery.scrollTo.js?ver=2.1.2	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/assets/js/jquery.scrollTo431f.js	(from http://badlapurseva.com/56/mywings/)
17:51:45	1434/1434	---M--	200	added ('OK')	application/javascript	etag:%22c080e95-59a-595c52fd2e6c0%22	http://badlapurseva.com/56/mywings/wp-includes/js/wp-embed.min.js?ver=5.4.2	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-includes/js/wp-embed.min7661.js	(from http://badlapurseva.com/56/mywings/)
17:51:48	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	F:/New%20folder/Mywings/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://badlapurseva.com/56/mywings/)
17:51:52	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	https://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	F:/New%20folder/Mywings/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from http://badlapurseva.com/56/mywings/)
17:51:53	65367/65367	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Oct%202020%2016:55:03%20GMT	http://badlapurseva.com/56/mywings/wp-content/themes/mywings/img/slide-1.jpeg	F:/New%20folder/Mywings/badlapurseva.com/56/mywings/wp-content/themes/mywings/img/slide-1.47.delayed	(from http://badlapurseva.com/56/mywings/wp-content/themes/mywings/css/style.css)
